0 1 2
383 371 352
360 393 402
407 401 397
403 365 384
369 398 359
325 357 408
377 391 393
398 369 371
392 400 409
368 385 394
375 374 410
408 386 325
337 381 411
383 412 371
399 364 413
381 363 414
363 370 414
388 390 415
379 375 397
412 398 371
372 416 383
391 376 399
412 383 417
375 410 418
396 400 419
420 402 393
400 402 409
384 389 421
387 405 422
381 414 411
421 389 382
421 382 423
349 395 424
382 349 424
397 375 418
385 396 425
401 426 390
420 409 402
357 404 427
406 388 415
408 357 427
408 427 428
394 416 372
351 386 429
385 425 394
398 430 405
383 416 417
395 387 422
420 393 431
413 364 392
382 424 423
403 384 432
367 373 419
429 373 351
370 406 433
411 404 337
370 433 414
393 391 434
417 430 412
434 431 393
403 410 374
400 367 419
386 428 429
416 394 435
407 426 401
434 391 399
434 399 431
430 398 412
396 419 436
425 396 436
413 392 437
437 392 409
404 411 438
394 425 439
408 428 386
426 440 390
419 373 441
409 420 437
399 413 442
384 421 443
407 397 418
410 403 432
444 424 395
433 406 445
431 399 446
415 390 440
439 435 394
373 429 447
431 437 420
432 384 448
444 395 422
446 399 442
436 419 441
373 449 441
450 416 435
450 417 416
423 451 421
438 411 452
404 438 453
454 424 444
427 404 453
431 446 437
448 384 443
442 413 446
446 413 437
422 405 455
456 428 427
444 457 454
458 444 422
423 454 451
423 424 454
440 426 459
450 430 417
414 460 411
435 439 461
450 435 461
430 455 405
429 428 462
418 410 459
447 449 373
432 459 410
457 444 458
463 414 433
456 427 453
430 450 455
464 422 455
465 428 456
458 422 464
464 466 458
460 414 463
452 411 460
426 418 459
426 407 418
467 421 451
467 451 468
445 406 415
451 454 469
458 470 457
471 459 432
464 472 466
463 433 445
470 473 457
470 466 473
470 458 466
447 429 462
448 474 432
475 454 457
459 415 440
415 459 471
473 466 456
462 428 465
461 464 450
461 472 464
450 464 455
451 469 468
466 465 456
473 456 453
438 475 453
468 476 467
467 443 421
460 463 477
469 454 475
469 476 468
465 466 472
471 432 474
473 453 475
473 475 457
441 478 436
452 475 438
452 469 475
445 415 471
445 471 479
469 452 476
447 462 480
460 481 452
482 461 439
465 472 482
472 461 482
439 425 483
425 484 483
479 471 474
482 483 480
482 462 465
476 452 481
462 482 480
482 439 483
441 449 485
486 448 443
476 487 467
484 425 436
485 449 447
488 445 479
476 481 487
483 484 489
477 463 445
486 443 467
488 479 490
488 477 445
478 484 436
448 486 491
490 479 474
477 488 492
486 467 493
474 448 491
481 460 477
481 477 492
467 487 493
478 441 485
480 485 447
490 474 494
491 486 495
481 492 496
487 481 496
478 497 484
483 489 498
489 484 497
495 486 493
480 483 498
496 488 490
491 494 474
480 497 485
496 492 488
487 496 493
496 490 494
497 480 498
478 485 497
494 491 495
497 498 499
494 493 496
489 497 499
493 494 495
499 498 500
499 500 501
500 498 489
489 501 500
489 499 501
